id,dex_number,pokemon,form,variant_type,stage,evolution_family,evolves_from,evolves_to,final_evolution_targets,mega_targets,type_1,type_2,base_attack,base_defense,base_stamina,max_cp_estimate,current_stage_rating,final_potential_rating,main_uses,raid_rating,gym_attack_rating,gym_defense_rating,league_rating,best_fast_move_pve,best_charged_move_1_pve,best_charged_move_2_pve,best_fast_move_pvp,best_charged_move_1_pvp,best_charged_move_2_pvp,needs_legacy_move,legacy_move,event_wait_recommended,recommended_wait_reason,bad_stats_action,good_stats_action,storage_priority,trade_value,evolve_priority,power_up_priority,regional,legendary,mythical,ultra_beast,can_be_shadow,shadow_relevant,purified_relevant,can_be_mega,mega_relevant,availability_status,notes,source_notes,last_reviewed
snubbull,209,Snubbull,,normal,base,Snubbull,,Granbull,Granbull,,Fairy,,137,85,155,1399,bad,budget,pokedex/collection,bad,bad,bad,bad,Bite,Dazzling Gleam,Crunch,Bite,Dazzling Gleam,Crunch,no,,no,,transfer,keep,low,low,low,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
granbull,210,Granbull,,normal,final,Snubbull,Snubbull,,Granbull,,Fairy,,212,131,207,2885,budget,budget,pokedex/collection,budget,budget,bad,bad,Charm,Play Rough,Crunch,Charm,Play Rough,Crunch,no,,no,,transfer,keep,low,low,none,low,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
qwilfish,211,Qwilfish,,normal,single,Qwilfish,,,Qwilfish,,Water,Poison,184,138,163,2318,bad,budget,pokedex/collection,bad,bad,bad,bad,Water Gun,Aqua Tail,Scald,Water Gun,Aqua Tail,Scald,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
qwilfish_qwilfish_hisuian,211,Qwilfish,Hisuian,form,base,Qwilfish,,Overqwil,Overqwil,,Dark,Poison,184,151,163,2415,bad,budget,pokedex/collection,bad,bad,bad,bad,Poison Jab,Sludge Bomb,Dark Pulse,Poison Jab,Sludge Bomb,Dark Pulse,no,,no,,transfer,keep,low,low,low,none,yes,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
scizor,212,Scizor,,normal,final,Scyther,Scyther,,Scizor,Scizor (Mega),Bug,Steel,236,181,172,3393,decent,strong,decent raid; decent gym attack; decent great league; decent ultra league,decent,decent,bad,decent,Bullet Punch,X Scissor,Iron Head,Bullet Punch,X Scissor,Iron Head,no,,no,,trade,keep,high,high,none,medium,no,no,no,no,yes,yes,no,yes,yes,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
scizor_mega,212,Scizor,Mega,mega,mega,Scyther,Scizor,,Scizor (Mega),,Bug,Steel,279,250,172,4621,strong,strong,strong raid; strong gym attack; decent gym defense; decent great league; decent ultra league; mega attacker,strong,strong,decent,decent,Bullet Punch,X Scissor,Iron Head,Bullet Punch,X Scissor,Iron Head,no,,no,,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,no,yes,game master present,Temporary Mega/Primal-style evolution row.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
shuckle,213,Shuckle,,normal,single,Shuckle,,,Shuckle,,Bug,Rock,17,396,85,458,budget,budget,pokedex/collection,bad,bad,budget,bad,Rock Throw,Rock Blast,Stone Edge,Rock Throw,Rock Blast,Stone Edge,no,,no,,transfer,keep,low,low,none,low,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
heracross,214,Heracross,,normal,single,Heracross,,,Heracross,Heracross (Mega),Bug,Fighting,234,179,190,3506,decent,top-tier,decent raid; decent gym attack,decent,decent,budget,bad,Counter,Upper Hand,Megahorn,Counter,Upper Hand,Megahorn,no,,no,,trade,keep,high,high,none,medium,no,no,no,no,no,no,no,yes,yes,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
heracross_mega,214,Heracross,Mega,mega,mega,Heracross,Heracross,,Heracross (Mega),,Bug,Fighting,334,223,190,5443,top-tier,top-tier,top-tier raid; top-tier gym attack; decent gym defense; mega attacker,top-tier,top-tier,decent,bad,Counter,Upper Hand,Megahorn,Counter,Upper Hand,Megahorn,no,,no,,trade,keep,high,high,none,high,no,no,no,no,no,no,no,no,yes,game master present,Temporary Mega/Primal-style evolution row.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
sneasel,215,Sneasel,,normal,base,Sneasel,,Weavile,Weavile,,Dark,Ice,189,146,146,2319,bad,strong,pokedex/collection,bad,bad,bad,bad,Feint Attack,Triple Axel,Avalanche,Feint Attack,Triple Axel,Avalanche,no,,no,,trade,keep,high,high,high,none,no,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
sneasel_sneasel_hisuian,215,Sneasel,Hisuian,form,base,Sneasel,,Sneasler,Sneasler,,Fighting,Poison,189,146,146,2319,bad,strong,pokedex/collection,bad,bad,bad,bad,Poison Jab,Close Combat,Aerial Ace,Poison Jab,Close Combat,Aerial Ace,no,,no,,trade,keep,medium,medium,medium,none,yes,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
teddiursa,216,Teddiursa,,normal,base,Teddiursa,,Ursaring,Ursaluna,,Normal,,142,93,155,1502,bad,decent,pokedex/collection,bad,bad,bad,bad,Scratch,Crunch,Play Rough,Scratch,Crunch,Play Rough,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
ursaring,217,Ursaring,,normal,middle,Teddiursa,Teddiursa,Ursaluna,Ursaluna,,Normal,,236,144,207,3329,bad,decent,pokedex/collection,bad,bad,bad,bad,Counter,Hyper Beam,Play Rough,Counter,Hyper Beam,Play Rough,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
slugma,218,Slugma,,normal,base,Slugma,,Magcargo,Magcargo,,Fire,,118,71,120,1011,bad,bad,pokedex/collection,bad,bad,bad,bad,Ember,Flame Charge,Flame Burst,Ember,Flame Charge,Flame Burst,no,,no,,transfer,keep one,low,low,low,none,no,no,no,no,no,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
magcargo,219,Magcargo,,normal,final,Slugma,Slugma,,Magcargo,,Fire,Rock,139,191,137,1924,bad,bad,pokedex/collection,bad,bad,bad,bad,Incinerate,Overheat,Rock Tomb,Incinerate,Overheat,Rock Tomb,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,no,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
swinub,220,Swinub,,normal,base,Swinub,,Piloswine,Mamoswine,,Ice,Ground,90,69,137,837,bad,strong,pokedex/collection,bad,bad,bad,bad,Powder Snow,Icy Wind,Rock Slide,Powder Snow,Icy Wind,Rock Slide,no,,no,,trade,keep,high,high,high,none,no,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
piloswine,221,Piloswine,,normal,middle,Swinub,Swinub,Mamoswine,Mamoswine,,Ice,Ground,181,138,225,2652,bad,strong,pokedex/collection,bad,bad,bad,bad,Ice Shard,Avalanche,Icicle Spear,Ice Shard,Avalanche,Icicle Spear,no,,no,,trade,keep,high,high,high,none,no,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
corsola,222,Corsola,,normal,single,Corsola,,,Corsola,,Water,Rock,118,156,146,1558,bad,decent,pokedex/collection,bad,bad,bad,bad,Bubble,Power Gem,Rock Blast,Bubble,Power Gem,Rock Blast,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,no,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
corsola_corsola_galarian,222,Corsola,Galarian,form,base,Corsola,,Cursola,Cursola,,Ghost,,116,182,155,1692,bad,decent,pokedex/collection,bad,bad,bad,bad,Astonish,Night Shade,Power Gem,Astonish,Night Shade,Power Gem,no,,no,,trade,keep,medium,medium,medium,none,yes,no,no,no,no,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
remoraid,223,Remoraid,,normal,base,Remoraid,,Octillery,Octillery,,Water,,127,69,111,1031,bad,bad,pokedex/collection,bad,bad,bad,bad,Water Gun,Water Pulse,Aurora Beam,Water Gun,Water Pulse,Aurora Beam,no,,no,,transfer,keep one,low,low,low,none,no,no,no,no,no,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
octillery,224,Octillery,,normal,final,Remoraid,Remoraid,,Octillery,,Water,,197,141,181,2617,bad,bad,pokedex/collection,bad,bad,bad,bad,Water Gun,Water Pulse,Aurora Beam,Water Gun,Water Pulse,Aurora Beam,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,no,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
delibird,225,Delibird,,normal,single,Delibird,,,Delibird,,Ice,Flying,128,90,128,1237,bad,bad,pokedex/collection,bad,bad,bad,bad,Present,Fly,Icy Wind,Present,Fly,Icy Wind,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
mantine,226,Mantine,,normal,final,Mantine,Mantyke,,Mantine,,Water,Flying,148,226,163,2383,budget,budget,pokedex/collection,bad,bad,budget,bad,Bubble,Aerial Ace,Ice Beam,Bubble,Aerial Ace,Ice Beam,no,,no,,transfer,keep,low,low,none,low,no,no,no,no,no,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
skarmory,227,Skarmory,,normal,single,Skarmory,,,Skarmory,,Steel,Flying,148,226,163,2383,budget,budget,strong great league; strong ultra league,bad,bad,budget,strong,Steel Wing,Sky Attack,Brave Bird,Steel Wing,Sky Attack,Brave Bird,no,,no,,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
houndour,228,Houndour,,normal,base,Houndour,,Houndoom,Houndoom,,Dark,Fire,152,83,128,1395,bad,strong,pokedex/collection,bad,bad,bad,bad,Feint Attack,Crunch,Dark Pulse,Feint Attack,Crunch,Dark Pulse,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
houndoom,229,Houndoom,,normal,final,Houndour,Houndour,,Houndoom,Houndoom (Mega),Dark,Fire,224,144,181,2979,decent,strong,decent raid; decent gym attack,decent,decent,bad,bad,Fire Fang,Crunch,Foul Play,Fire Fang,Crunch,Foul Play,no,,no,,trade,keep,high,high,none,medium,no,no,no,no,yes,yes,no,yes,yes,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
houndoom_mega,229,Houndoom,Mega,mega,mega,Houndour,Houndoom,,Houndoom (Mega),,Dark,Fire,289,194,181,4344,strong,strong,strong raid; strong gym attack; mega attacker,strong,strong,budget,bad,Fire Fang,Crunch,Foul Play,Fire Fang,Crunch,Foul Play,no,,no,,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,no,yes,game master present,Temporary Mega/Primal-style evolution row.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
kingdra,230,Kingdra,,normal,final,Horsea,Seadra,,Kingdra,,Water,Dragon,194,194,181,2986,budget,budget,pokedex/collection,bad,bad,budget,bad,Waterfall,Outrage,Hydro Pump,Waterfall,Outrage,Hydro Pump,no,,no,,transfer,keep,low,low,none,low,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
phanpy,231,Phanpy,,normal,base,Phanpy,,Donphan,Donphan,,Ground,,107,98,207,1364,bad,budget,pokedex/collection,bad,bad,bad,bad,Rock Smash,Bulldoze,Rock Slide,Rock Smash,Bulldoze,Rock Slide,no,,no,,transfer,keep,low,low,low,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
donphan,232,Donphan,,normal,final,Phanpy,Phanpy,,Donphan,,Ground,,214,185,207,3407,budget,budget,pokedex/collection,budget,budget,budget,bad,Mud Slap,Earthquake,Play Rough,Mud Slap,Earthquake,Play Rough,no,,no,,transfer,keep,low,low,none,low,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
porygon2,233,Porygon2,,normal,middle,Porygon,Porygon,Porygon-Z,Porygon-Z,,Normal,,198,180,198,3065,bad,decent,pokedex/collection,bad,bad,bad,bad,Hidden Power,Hyper Beam,Tri Attack,Hidden Power,Hyper Beam,Tri Attack,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
stantler,234,Stantler,,normal,single,Stantler,,,Stantler,,Normal,,192,131,177,2447,bad,budget,pokedex/collection,bad,bad,bad,bad,Tackle,Wild Charge,Stomp,Tackle,Wild Charge,Stomp,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
smeargle,235,Smeargle,,normal,single,Smeargle,,,Smeargle,,Normal,,40,83,146,487,bad,bad,pokedex/collection,bad,bad,bad,bad,,,,,,,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,no,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
tyrogue,236,Tyrogue,,normal,base,Tyrogue,,Hitmonlee; Hitmonchan; Hitmontop,Hitmonlee; Hitmonchan; Hitmontop,,Fighting,,64,64,111,556,bad,budget,pokedex/collection,bad,bad,bad,bad,Rock Smash,Brick Break,Low Sweep,Rock Smash,Brick Break,Low Sweep,no,,no,,transfer,keep,low,low,low,none,no,no,no,no,no,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
hitmontop,237,Hitmontop,,normal,final,Tyrogue,Tyrogue,,Hitmontop,,Fighting,,173,207,137,2438,bad,budget,pokedex/collection,bad,bad,bad,bad,Counter,Triple Axel,Close Combat,Counter,Triple Axel,Close Combat,no,,no,,transfer,keep,low,low,none,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
smoochum,238,Smoochum,,normal,base,Jynx,,Jynx,Jynx,,Ice,Psychic,153,91,128,1460,bad,budget,pokedex/collection,bad,bad,bad,bad,Frost Breath,Ice Beam,Psyshock,Frost Breath,Ice Beam,Psyshock,no,,no,,transfer,keep,low,low,low,none,no,no,no,no,no,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
elekid,239,Elekid,,normal,base,Electabuzz,,Electabuzz,Electivire,,Electric,,135,101,128,1364,bad,decent,pokedex/collection,bad,bad,bad,bad,Thunder Shock,Discharge,Thunderbolt,Thunder Shock,Discharge,Thunderbolt,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,no,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
magby,240,Magby,,normal,base,Magmar,,Magmar,Magmortar,,Fire,,151,99,128,1496,bad,decent,pokedex/collection,bad,bad,bad,bad,Ember,Fire Punch,Flame Burst,Ember,Fire Punch,Flame Burst,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,no,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
miltank,241,Miltank,,normal,single,Miltank,,,Miltank,,Normal,,157,193,216,2662,budget,budget,decent great league; decent ultra league,bad,bad,budget,decent,Tackle,Body Slam,Ice Beam,Tackle,Body Slam,Ice Beam,no,,no,,trade,keep,medium,medium,none,medium,no,no,no,no,no,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
blissey,242,Blissey,,normal,final,Chansey,Chansey,,Blissey,,Normal,,129,169,496,3117,strong,strong,strong gym defense,bad,bad,strong,bad,Pound,Hyper Beam,Dazzling Gleam,Pound,Hyper Beam,Dazzling Gleam,no,,no,,trade,keep,high,high,none,high,no,no,no,no,no,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
raikou,243,Raikou,,normal,single,Raikou,,,Raikou,,Electric,,241,195,207,3902,decent,decent,decent raid; decent gym attack,decent,decent,budget,bad,Volt Switch,Wild Charge,Aura Sphere,Volt Switch,Wild Charge,Aura Sphere,no,,no,,transfer,keep,medium,low,none,medium,no,yes,no,no,yes,yes,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
entei,244,Entei,,normal,single,Entei,,,Entei,,Fire,,235,171,251,3926,decent,decent,decent gym defense,budget,budget,decent,bad,Fire Spin,Flame Charge,Overheat,Fire Spin,Flame Charge,Overheat,no,,no,,transfer,keep,medium,low,none,medium,no,yes,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
suicune,245,Suicune,,normal,single,Suicune,,,Suicune,,Water,,180,235,225,3372,decent,decent,decent gym defense,bad,bad,decent,bad,Water Gun,Hydro Pump,Scald,Water Gun,Hydro Pump,Scald,no,,no,,transfer,keep,medium,low,none,medium,no,yes,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
larvitar,246,Larvitar,,normal,base,Larvitar,,Pupitar,Tyranitar,,Rock,Ground,115,93,137,1176,bad,top-tier,pokedex/collection,bad,bad,bad,bad,Rock Smash,Ancient Power,Crunch,Rock Smash,Ancient Power,Crunch,no,,no,,trade,keep,high,high,high,none,no,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
pupitar,247,Pupitar,,normal,middle,Larvitar,Larvitar,Tyranitar,Tyranitar,,Rock,Ground,155,133,172,1996,bad,top-tier,pokedex/collection,bad,bad,bad,bad,Rock Smash,Ancient Power,Dig,Rock Smash,Ancient Power,Dig,no,,no,,trade,keep,high,high,high,none,no,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
tyranitar,248,Tyranitar,,normal,final,Larvitar,Pupitar,,Tyranitar,Tyranitar (Mega),Rock,Dark,251,207,225,4335,strong,top-tier,strong raid; strong gym attack; decent gym defense; decent master league,strong,strong,decent,decent,Smack Down,Brutal Swing,Crunch,Smack Down,Brutal Swing,Crunch,no,,no,,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,yes,yes,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
tyranitar_mega,248,Tyranitar,Mega,mega,mega,Larvitar,Tyranitar,,Tyranitar (Mega),,Rock,Dark,309,276,225,6045,top-tier,top-tier,top-tier raid; top-tier gym attack; decent gym defense; decent master league; mega attacker,top-tier,top-tier,decent,decent,Smack Down,Brutal Swing,Crunch,Smack Down,Brutal Swing,Crunch,no,,no,,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,no,yes,game master present,Temporary Mega/Primal-style evolution row.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
lugia,249,Lugia,,normal,single,Lugia,,,Lugia,,Psychic,Flying,193,310,235,4186,decent,decent,decent gym defense,bad,bad,decent,bad,Extrasensory,Aeroblast,Fly,Extrasensory,Aeroblast,Fly,no,,no,,transfer,keep,medium,low,none,medium,no,yes,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
ho_oh,250,Ho-Oh,,normal,single,Ho Oh,,,Ho-Oh,,Fire,Flying,239,244,214,4367,decent,decent,decent gym defense; strong master league,budget,budget,decent,strong,Incinerate,Brave Bird,Fire Blast,Incinerate,Brave Bird,Fire Blast,no,,no,,keep one,keep,high,low,none,high,no,yes,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
celebi,251,Celebi,,normal,single,Celebi,,,Celebi,,Psychic,Grass,210,210,225,3691,decent,decent,decent gym defense,budget,budget,decent,bad,Confusion,Psychic,Aura Sphere,Confusion,Psychic,Aura Sphere,no,,no,,transfer,keep,medium,low,none,medium,no,yes,yes,no,no,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
treecko,252,Treecko,,normal,base,Treecko,,Grovyle,Sceptile,,Grass,,124,94,120,1190,bad,top-tier,pokedex/collection,bad,bad,bad,bad,Pound,Grass Knot,Energy Ball,Pound,Grass Knot,Energy Ball,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
grovyle,253,Grovyle,,normal,middle,Treecko,Treecko,Sceptile,Sceptile,,Grass,,172,120,137,1891,bad,top-tier,pokedex/collection,bad,bad,bad,bad,Quick Attack,Leaf Blade,Grass Knot,Quick Attack,Leaf Blade,Grass Knot,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
sceptile,254,Sceptile,,normal,final,Treecko,Grovyle,,Sceptile,Sceptile (Mega),Grass,,223,169,172,3117,decent,top-tier,decent raid; decent gym attack,decent,decent,bad,bad,Bullet Seed,Leaf Blade,Frenzy Plant,Bullet Seed,Leaf Blade,Frenzy Plant,yes,Frenzy Plant,yes,Better with Frenzy Plant,trade,keep,high,high,none,medium,no,no,no,no,yes,yes,no,yes,yes,game master present,Often wants Frenzy Plant; wait for event/Elite TM before serious investment.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
sceptile_mega,254,Sceptile,Mega,mega,mega,Treecko,Sceptile,,Sceptile (Mega),,Grass,Dragon,320,186,172,4585,top-tier,top-tier,top-tier raid; top-tier gym attack; mega attacker,top-tier,top-tier,bad,bad,Bullet Seed,Leaf Blade,Frenzy Plant,Bullet Seed,Leaf Blade,Frenzy Plant,yes,Frenzy Plant,yes,Better with Frenzy Plant,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,no,yes,game master present,Often wants Frenzy Plant; wait for event/Elite TM before serious investment. Temporary Mega/Primal-style evolution row.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
torchic,255,Torchic,,normal,base,Torchic,,Combusken,Blaziken,,Fire,,130,87,128,1236,bad,top-tier,pokedex/collection,bad,bad,bad,bad,Ember,Flame Charge,Flamethrower,Ember,Flame Charge,Flamethrower,no,,no,,trade,keep,high,high,high,none,no,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
combusken,256,Combusken,,normal,middle,Torchic,Torchic,Blaziken,Blaziken,,Fire,Fighting,163,115,155,1868,bad,top-tier,pokedex/collection,bad,bad,bad,bad,Ember,Flame Charge,Flamethrower,Ember,Flame Charge,Flamethrower,no,,no,,trade,keep,high,high,high,none,no,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
blaziken,257,Blaziken,,normal,final,Torchic,Combusken,,Blaziken,Blaziken (Mega),Fire,Fighting,240,141,190,3219,strong,top-tier,strong raid; strong gym attack,strong,strong,bad,bad,Fire Spin,Blast Burn,Aura Sphere,Fire Spin,Blast Burn,Aura Sphere,yes,Blast Burn,yes,Better with Blast Burn,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,yes,yes,game master present,Often wants Blast Burn; wait for event/Elite TM before serious investment.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
blaziken_mega,257,Blaziken,Mega,mega,mega,Torchic,Blaziken,,Blaziken (Mega),,Fire,Fighting,329,168,190,4704,top-tier,top-tier,top-tier raid; top-tier gym attack; mega attacker,top-tier,top-tier,bad,bad,Fire Spin,Blast Burn,Aura Sphere,Fire Spin,Blast Burn,Aura Sphere,yes,Blast Burn,yes,Better with Blast Burn,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,no,yes,game master present,Often wants Blast Burn; wait for event/Elite TM before serious investment. Temporary Mega/Primal-style evolution row.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
mudkip,258,Mudkip,,normal,base,Mudkip,,Marshtomp,Swampert,,Water,,126,93,137,1275,bad,strong,pokedex/collection,bad,bad,bad,bad,Water Gun,Dig,Sludge,Water Gun,Dig,Sludge,no,,no,,trade,keep,high,high,high,none,no,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
marshtomp,259,Marshtomp,,normal,middle,Mudkip,Mudkip,Swampert,Swampert,,Water,Ground,156,133,172,2008,bad,strong,pokedex/collection,bad,bad,bad,bad,Water Gun,Mud Bomb,Surf,Water Gun,Mud Bomb,Surf,no,,no,,trade,keep,high,high,high,none,no,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
swampert,260,Swampert,,normal,final,Mudkip,Marshtomp,,Swampert,Swampert (Mega),Water,Ground,208,175,225,3362,strong,strong,strong raid; strong gym attack; strong great league; strong ultra league,strong,strong,budget,strong,Water Gun,Hydro Cannon,Earthquake,Water Gun,Hydro Cannon,Earthquake,yes,Hydro Cannon,yes,Better with Hydro Cannon,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,yes,yes,game master present,Often wants Hydro Cannon; wait for event/Elite TM before serious investment.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
swampert_mega,260,Swampert,Mega,mega,mega,Mudkip,Swampert,,Swampert (Mega),,Water,Ground,283,218,225,4975,strong,strong,strong raid; strong gym attack; decent gym defense; strong great league; strong ultra league; mega attacker,strong,strong,decent,strong,Water Gun,Hydro Cannon,Earthquake,Water Gun,Hydro Cannon,Earthquake,yes,Hydro Cannon,yes,Better with Hydro Cannon,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,no,yes,game master present,Often wants Hydro Cannon; wait for event/Elite TM before serious investment. Temporary Mega/Primal-style evolution row.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
poochyena,261,Poochyena,,normal,base,Poochyena,,Mightyena,Mightyena,,Dark,,96,61,111,766,bad,bad,pokedex/collection,bad,bad,bad,bad,Snarl,Crunch,Dig,Snarl,Crunch,Dig,no,,no,,transfer,keep one,low,low,low,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
mightyena,262,Mightyena,,normal,final,Poochyena,Poochyena,,Mightyena,,Dark,,171,132,172,2177,bad,bad,pokedex/collection,bad,bad,bad,bad,Bite,Crunch,Play Rough,Bite,Crunch,Play Rough,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
